,,Data set: 22
,,startCityIndex: 1
,,crossoverRate: 1
,,mutationRate: 1
,,maxGenerationSpan: 1000
,,maxPopSize: 1000
,,Tournement Size: 5
,,Seed: "1521074568"
,,Final Path Cost: 75.39841
,,Tour: 1 -> 8 -> 22 -> 4 -> 18 -> 17 -> 2 -> 3 -> 16 -> 21 -> 20 -> 19 -> 10 -> 9 -> 11 -> 5 -> 15 -> 6 -> 7 -> 12 -> 13 -> 14 -> 1

SET: 22 Elietism: top10P Crossover Type: UOX Crossover Rate: 1 Mutation Rate: 1
Best Fitness ,Average Fitness
131.169492264416,181.740893594301
122.778266,169.145500483685
116.81768,161.87931717467
114.993352,157.15197644096
111.47681,151.838459200047
106.544736,147.273536987381
102.136112,143.208868412111
99.394352,140.352491034112
98.2146,137.534177086
97.359868,132.842981872
94.337544,129.447781836
92.678966,125.60843804
90.426846,120.383948204
88.027598,114.939911786
86.338426,111.109324238
85.774528,108.36481786
83.417248,105.756229708
83.238488,104.014166142
82.434718,102.777323962
82.157768,101.637859942
81.580822,99.81152841
81.522616,98.638355066
81.158666,97.18508597
80.674612,97.231187338
80.640558,96.798442722
80.220326,96.429681136
79.962438,96.2569855640001
79.778854,96.0294392700001
79.778854,96.059761964
79.778854,95.735397774
79.508874,95.433653364
79.24891,95.57701109
79.24891,94.7647732280001
79.162644,94.5234143040001
78.915296,94.129512128
78.628368,94.529663808
78.533976,93.648966638
78.321572,93.369678688
78.184326,94.418068972
78.155294,94.395149628
78.133502,93.961627858
78.080154,94.416249804
78.066528,94.71222831
78.03436,94.390762728
78.03436,94.762606102
78.03436,94.335363576
77.952774,93.61612061
77.952774,93.956098536
77.952774,94.13424121
77.952774,94.217510578
77.826008,93.867736966
77.826008,93.667375354
77.826008,93.991156316
77.823002,94.389008564
77.80526,94.533580966
77.80526,94.77055264
77.71888,95.023962786
77.402402,94.742353388
77.396294,95.190839928
77.32515,95.472267232
77.32515,95.248677856
77.32515,95.103813796
77.206008,95.517725096
77.206008,94.372471336
77.203556,94.915938622
77.203556,94.678954074
77.203556,94.744334574
77.203556,94.771701008
77.203556,94.43916191
77.203556,94.7344879639999
77.203556,94.20189765
77.203556,93.734788556
77.203556,93.801916758
77.203556,94.033026838
77.203556,94.1589542460001
77.203556,94.164878304
77.203556,94.224230818
77.203556,94.673038688
77.203556,94.912669042
77.108852,94.6133726600001
76.985402,95.053770086
76.985402,95.00707767
76.985402,94.924848754
76.985402,94.722289804
76.985402,94.953876736
76.985402,95.0309710979999
76.985402,95.177491642
76.985402,94.83756947
76.985402,94.7445664119999
76.959318,95.888113152
76.959318,95.45840811
76.959318,94.989680888
76.959318,95.3915950719999
76.959318,94.935599144
76.927134,95.117345064
76.927134,95.2161241060001
76.85051,95.75817138
76.85051,95.296399106
76.85051,95.626514516
76.85051,94.70315722
76.85051,94.98066895
76.795304,95.68990169
76.795304,95.962068802
76.795304,95.268587444
76.795304,95.525920056
76.795304,95.577276174
76.795304,95.774361756
76.795304,95.6604747080001
76.795304,95.336209472
76.795304,95.317036914
76.795304,95.19147651
76.723522,95.52402658
76.723522,95.43164276
